"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","184","Обновить описание задачи по id POST /todos/{id} (200)","chromium","Wed Apr 30 11:19:21 GMT 2025","passed","Wed Apr 30 11:19:21 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","1068","Изменить имя пользователя","chromium","Wed Apr 30 11:19:25 GMT 2025","passed","Wed Apr 30 11:19:26 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","1528","Создание новой статьи","chromium","Wed Apr 30 11:19:26 GMT 2025","passed","Wed Apr 30 11:19:27 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","238","Создать новую задачу POST /todos (201)","chromium","Wed Apr 30 11:19:20 GMT 2025","passed","Wed Apr 30 11:19:20 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","1542","Зарегистрировать нового пользователя","chromium","Wed Apr 30 11:19:21 GMT 2025","passed","Wed Apr 30 11:19:23 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","194","Получить список задач GET /todos (200)","chromium","Wed Apr 30 11:19:20 GMT 2025","passed","Wed Apr 30 11:19:20 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","245","Отфильтровать задачу по статусу GET /todos (200) ?filter","chromium","Wed Apr 30 11:19:21 GMT 2025","passed","Wed Apr 30 11:19:21 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","289","Получить токен авторизации GET /challenger (200)","chromium","Wed Apr 30 11:19:20 GMT 2025","passed","Wed Apr 30 11:19:20 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","1293","Сменить пароль пользователя","chromium","Wed Apr 30 11:19:23 GMT 2025","passed","Wed Apr 30 11:19:25 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","1845","Публикация коментария к статье","chromium","Wed Apr 30 11:19:27 GMT 2025","passed","Wed Apr 30 11:19:29 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","185","Получить задачу по id GET /todos/{id} (200)","chromium","Wed Apr 30 11:19:20 GMT 2025","passed","Wed Apr 30 11:19:21 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","249","Обновить все поля задачи PUT /todos/{id} full (200)","chromium","Wed Apr 30 11:19:21 GMT 2025","passed","Wed Apr 30 11:19:21 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","170","Удалить задачу по id DELETE /todos/{id} (200)","chromium","Wed Apr 30 11:19:21 GMT 2025","passed","Wed Apr 30 11:19:21 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
