"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28","Получить задачу по id GET /todos/{id} (200)","chromium","Tue Apr 29 17:38:28 GMT 2025","passed","Tue Apr 29 17:38:28 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","26","Удалить задачу по id DELETE /todos/{id} (200)","chromium","Tue Apr 29 17:38:28 GMT 2025","passed","Tue Apr 29 17:38:28 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","73","Получить токен авторизации GET /challenger (200)","chromium","Tue Apr 29 17:38:27 GMT 2025","passed","Tue Apr 29 17:38:28 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","38","Получить список задач GET /todos (200)","chromium","Tue Apr 29 17:38:28 GMT 2025","passed","Tue Apr 29 17:38:28 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","35","Создать новую задачу POST /todos (201)","chromium","Tue Apr 29 17:38:28 GMT 2025","passed","Tue Apr 29 17:38:28 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","24","Обновить все поля задачи PUT /todos/{id} full (200)","chromium","Tue Apr 29 17:38:28 GMT 2025","passed","Tue Apr 29 17:38:28 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","579","Изменить имя пользователя","chromium","Tue Apr 29 17:38:36 GMT 2025","passed","Tue Apr 29 17:38:37 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","1376","Сменить пароль пользователя","chromium","Tue Apr 29 17:38:35 GMT 2025","passed","Tue Apr 29 17:38:36 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","1005","Зарегистрировать нового пользователя","chromium","Tue Apr 29 17:38:28 GMT 2025","passed","Tue Apr 29 17:38:29 GMT 2025","Настройки","ui_tests/pageObject.spec.js","",""
"","5020","Публикация коментария к статье","chromium","Tue Apr 29 17:39:07 GMT 2025","broken","Tue Apr 29 17:39:12 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
"","26","Обновить описание задачи по id POST /todos/{id} (200)","chromium","Tue Apr 29 17:38:28 GMT 2025","passed","Tue Apr 29 17:38:28 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","32","Отфильтровать задачу по статусу GET /todos (200) ?filter","chromium","Tue Apr 29 17:38:28 GMT 2025","passed","Tue Apr 29 17:38:28 GMT 2025","API-тесты для работы с задачами","api_tests/api.spec.js","",""
"","5021","Создание новой статьи","chromium","Tue Apr 29 17:38:49 GMT 2025","broken","Tue Apr 29 17:38:54 GMT 2025","Статьи","ui_tests/pageObject.spec.js","",""
